time,name,section,number,nrc,vacancies
2021-01-22 06:55:02.719650+00:00,Análisis Químico y Bioquímico en los Peritajes Forenses,1,QIM512,25255,"[['Vacantes libres', '0', '0', '0'], ['Química', '40', '0', '40'], ['Ciencias Biológicas', '10', '0', '10']]"
2021-01-22 06:55:02.755268+00:00,Computación: Ciencia y Tecnología del Mundo Digital,1,IIC1005,10626,"[['Vacantes libres', '17', '0', '17'], ['Provisional Convenio PUC', '3', '0', '3'], ['Ingeniería', '120', '0', '120']]"
2021-01-22 06:55:02.789558+00:00,Probabilidades y Estadística,1,EYP1113,10541,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.825951+00:00,Probabilidades y Estadística,2,EYP1113,10527,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.854259+00:00,Probabilidades y Estadística,3,EYP1113,10514,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '1', '99'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.887540+00:00,Probabilidades y Estadística,4,EYP1113,10500,"[['Vacantes libres', '0', '0', '0'], ['Ingeniería', '100', '0', '100'], ['Lic. Generales (College)', '25', '0', '25'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.919687+00:00,Ecuaciones Diferenciales,1,MAT1640,14883,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '119', '0', '119'], ['Lic. Generales (College)', '30', '0', '30'], ['Educación', '15', '0', '15'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.954825+00:00,Ecuaciones Diferenciales,2,MAT1640,14959,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '134', '0', '134'], ['Lic. Generales (College)', '30', '0', '30'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:02.982538+00:00,Ecuaciones Diferenciales,3,MAT1640,14888,"[['Vacantes libres', '1', '0', '1'], ['Ingeniería', '134', '0', '134'], ['Lic. Generales (College)', '30', '0', '30'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:03.011611+00:00,Ecuaciones Diferenciales,4,MAT1640,14851,"[['Vacantes libres', '1', '0', '1'], ['Astrofísica', '15', '0', '15'], ['Física', '15', '0', '15'], ['Ingeniería', '134', '0', '134'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:03.045558+00:00,Ecuaciones Diferenciales,5,MAT1640,14958,"[['Vacantes libres', '1', '0', '1'], ['Astrofísica', '15', '0', '15'], ['Física', '15', '0', '15'], ['Ingeniería', '134', '0', '134'], ['Actividades Universitarias', '1', '0', '1']]"
2021-01-22 06:55:03.268233+00:00,Liderazgo: Juegos y Recreación I,1,DPT9030,12874,"[['Vacantes libres', '30', '0', '30']]"
2021-01-22 06:55:03.508226+00:00,Liderazgo: Juegos y Recreación I,3,DPT9030,19010,"[['Vacantes libres', '30', '0', '30']]"
2021-01-22 06:55:03.887133+00:00,Liderazgo: Juegos y Recreación I,4,DPT9030,19011,"[['Vacantes libres', '40', '0', '40']]"
2021-01-22 06:55:04.193156+00:00,Estática,1,ICE2006,22841,"[['Vacantes libres', '120', '0', '120']]"
2021-01-22 06:55:04.229034+00:00,Desafíos Sociales Contemporáneos,1,SOL227,25065,"[['Vacantes libres', '90', '0', '90'], ['Actividades Universitarias', '5', '0', '5']]"
2021-01-22 06:55:04.265601+00:00,Design Bootcamp: Herramientas y Métodos Prácticos para Innovar,1,DNO048,12072,"[['Vacantes libres', '15', '0', '15'], ['Ingeniería', '3', '0', '3'], ['Lic. Generales (College)', '5', '0', '5'], ['Diseño', '12', '0', '12'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:55:04.301186+00:00,Introduccion a la Tipografia,1,DNO002,11616,"[['Vacantes libres', '6', '0', '6'], ['Lic. Generales (College)', '2', '0', '2'], ['Diseño', '23', '0', '23'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:55:04.337382+00:00,El Mundo de los Medicamentos,1,QIF117,12172,"[['Vacantes libres', '0', '0', '0'], ['Quimica Y Farmacia', '10', '0', '10'], ['Química', 'Per 202120 Quimica Y Farmacia', '202120', '105', '1', '104']]"
2021-01-22 06:55:04.383655+00:00,El Mundo de los Medicamentos,2,QIF117,12179,"[['Vacantes libres', '0', '0', '0'], ['Vacantes libres', 'M028-Major en Ciencias Farmacéuticas', '3', '0', '3'], ['Pedagogia General Basica', '15', '0', '15'], ['Pedagogía en Educación Media en Química', '5', '1', '4'], ['Educación', 'Per 202120 Pedagogía en Educación Media en Química', '202120', '20', '0', '20']]"
2021-01-22 06:55:04.421260+00:00,Introducción al Diseño de Servicios,1,DNO053,15178,"[['Vacantes libres', '8', '0', '8'], ['Diseño', '22', '0', '22'], ['Diseño', 'Magister', '2', '0', '2'], ['Actividades Universitarias', '000312-Provisional Convenio PUC-DUOC UC', '2', '0', '2'], ['Actividades Universitarias', '2', '0', '2']]"
2021-01-22 06:55:04.453717+00:00,Sustentabilidad Corporativa y Relación Con las Comunidades,1,DER102E,25388,"[['Vacantes libres', '57', '0', '57'], ['Actividades Universitarias', '3', '0', '3']]"
2021-01-22 06:55:04.486382+00:00,Historia de Género en Chile,1,IHI2323,17351,"[['Vacantes libres', '40', '0', '40'], ['Lic. Generales (College)', '5', '0', '5'], ['Psicología', '2', '0', '2'], ['Historia', '20', '0', '20'], ['Actividades Universitarias', '3', '0', '3']]"
2021-01-22 06:55:04.703291+00:00,Esencia y Protección de los Derechos Humanos,1,DER106E,25472,"[['Vacantes libres', '60', '0', '60']]"
